wilayah,provinsi,tahun,pdrb_perkapita,kemiskinan,pengangguran,ipm,harapan_hidup,rata_lama_sekolah,akses_internet,jalan_baik,air_bersih,catatan_data
Kabupaten/Kota_1,Jawa Barat,2022,38403994.0,19.69,4.73,80.16,75.75,8.41,63.86,53.86,43.11,Normal
Kabupaten/Kota_2,Jawa Timur,2022,165582092.0,9.68,4.43,55.05,67.85,5.79,66.61,34.89,58.93,Normal
Kabupaten/Kota_3,Kalimantan Timur,2020,26780948.0,4.13,2.99,78.7,60.38,13.2,64.73,48.57,90.27,Normal
Kabupaten/Kota_4,DKI Jakarta,2022,155034790.0,20.43,3.9,73.27,69.49,12.28,44.59,57.88,86.16,Normal
Kabupaten/Kota_5,Sulawesi Selatan,2023,198834591.0,14.39,12.15,72.9,75.0,9.69,52.72,65.7,90.84,Normal
Kabupaten/Kota_6,Jawa Timur,2020,145702606.0,17.14,3.38,65.11,67.04,5.66,55.63,70.12,60.17,Normal
Kabupaten/Kota_7,Banten,2024,38664542.0,21.13,6.09,81.88,77.96,8.65,59.08,87.69,43.58,Normal
Kabupaten/Kota_8,DKI Jakarta,2023,220135035.0,16.49,4.27,69.51,63.2,13.93,54.67,82.62,42.65,Normal
Kabupaten/Kota_9,Jawa Timur,2023,66855549.0,2.48,12.18,75.55,77.18,10.71,20.03,73.23,70.62,Normal
Kabupaten/Kota_10,Jawa Tengah,2020,131286322.0,22.64,12.14,66.32,69.84,10.72,22.27,52.57,97.35,Normal
Kabupaten/Kota_11,Jawa Barat,2024,104880389.0,11.52,1.33,74.08,62.95,13.67,25.01,90.88,48.64,Normal
Kabupaten/Kota_12,Banten,2020,236394001.0,22.21,1.8,70.56,69.68,6.32,71.16,94.11,86.57,Normal
Kabupaten/Kota_13,Sumatera Barat,2022,48949020.0,14.3,5.73,58.59,63.0,10.3,53.71,81.9,67.28,Normal
Kabupaten/Kota_14,Jawa Barat,2022,135721833.0,22.03,11.36,84.41,72.04,7.73,81.71,31.98,71.3,Normal
Kabupaten/Kota_15,Sulawesi Selatan,2024,164405349.0,5.16,8.0,71.36,66.64,13.04,46.53,49.02,70.38,Normal
Kabupaten/Kota_16,Banten,2022,86014223.0,11.16,14.14,57.41,63.55,6.8,97.63,92.36,51.65,Normal
Kabupaten/Kota_17,Papua,2021,37843865.0,15.8,2.17,71.64,62.4,13.01,92.97,39.48,94.11,Normal
Kabupaten/Kota_18,Kalimantan Timur,2023,223562121.0,2.65,10.99,79.85,75.61,8.06,91.33,88.82,95.5,Normal
Kabupaten/Kota_19,Papua,2020,228081058.0,20.18,9.53,69.83,72.52,6.1,24.09,90.32,61.71,Normal
Kabupaten/Kota_20,Sumatera Barat,2022,111279894.0,6.98,7.29,79.34,63.46,13.97,49.83,86.43,90.5,Normal
Kabupaten/Kota_21,Sumatera Barat,2024,86264037.0,21.08,3.45,71.77,66.63,13.3,29.54,48.58,89.19,Normal
Kabupaten/Kota_22,Sumatera Utara,2020,117162536.0,3.19,6.44,58.22,70.32,13.67,45.33,75.28,55.95,Normal
Kabupaten/Kota_23,Kalimantan Timur,2024,168416528.0,9.91,14.28,68.66,70.35,13.31,46.3,33.41,47.4,Normal
Kabupaten/Kota_24,Sumatera Barat,2023,211967876.0,5.03,8.49,69.11,69.75,7.93,48.84,95.92,75.86,Normal
Kabupaten/Kota_25,Jawa Barat,2023,150322677.0,22.69,13.43,78.23,65.2,10.22,96.54,52.44,63.19,Normal
Kabupaten/Kota_26,Jawa Tengah,2022,91528920.0,5.86,,67.75,70.93,9.47,32.85,33.26,71.49,Missing Value
Kabupaten/Kota_27,Sulawesi Selatan,2021,96269587.0,13.5,13.27,61.72,69.5,5.93,67.8,69.02,88.44,Normal
Kabupaten/Kota_28,Sulawesi Selatan,2020,185587511.0,23.61,6.69,78.75,62.0,10.13,79.41,60.52,61.39,Normal
Kabupaten/Kota_29,Kalimantan Timur,2021,67199935.0,23.38,14.68,84.17,64.4,6.87,51.48,31.81,64.73,Normal
Kabupaten/Kota_30,Sumatera Utara,2024,23039614.0,2.96,14.18,76.92,75.82,8.92,42.73,43.01,46.76,Normal
Kabupaten/Kota_31,Sumatera Utara,2021,153377185.0,2.6,6.06,59.59,64.05,7.0,71.67,60.42,73.63,Normal
Kabupaten/Kota_32,Sumatera Barat,2020,148394536.0,21.97,5.02,69.27,72.97,5.96,29.52,94.85,61.17,Normal
Kabupaten/Kota_33,Papua,2020,134462175.0,13.98,5.04,61.4,76.86,5.95,84.72,82.71,75.57,Normal
Kabupaten/Kota_34,Sumatera Utara,2020,,17.38,14.43,60.39,62.27,9.28,86.41,30.37,87.33,Missing Value
Kabupaten/Kota_35,Jawa Tengah,2022,23668077.0,4.26,4.07,67.91,63.61,8.64,24.4,38.01,81.74,Normal
Kabupaten/Kota_36,Jawa Timur,2020,111350320.0,12.11,12.37,61.19,64.3,12.06,46.63,40.01,80.52,Normal
Kabupaten/Kota_37,DKI Jakarta,2022,194624775.0,11.22,12.02,79.44,61.04,5.58,92.13,50.16,47.51,Normal
Kabupaten/Kota_38,Jawa Barat,2024,221002917.0,16.74,13.29,71.29,76.49,13.79,63.3,55.94,47.82,Normal
Kabupaten/Kota_39,Sumatera Barat,2020,176773641.0,8.65,5.39,80.25,74.41,9.56,20.23,50.59,62.71,Normal
Kabupaten/Kota_40,Jawa Timur,2024,102413176.0,12.23,2.46,72.89,73.42,6.79,69.52,34.94,52.32,Normal
Kabupaten/Kota_41,Sumatera Utara,2023,223848312.0,13.06,10.15,71.58,69.8,8.49,40.31,32.18,94.83,Normal
Kabupaten/Kota_42,Jawa Timur,2021,113118555.0,6.23,2.91,76.43,61.83,6.09,91.31,55.28,94.88,Normal
Kabupaten/Kota_43,Sumatera Utara,2021,82665005.0,11.45,9.7,70.58,69.97,6.07,61.72,98.26,59.79,Normal
Kabupaten/Kota_44,DKI Jakarta,2023,78076174.0,2.12,12.74,73.58,76.78,8.97,50.28,94.98,93.69,Normal
Kabupaten/Kota_45,Jawa Timur,2021,118996355.0,2.01,3.94,82.47,74.54,6.17,86.08,42.23,56.0,Normal
Kabupaten/Kota_46,Jawa Timur,2023,,9.03,13.23,58.66,70.24,7.4,24.18,77.23,82.86,Missing Value
Kabupaten/Kota_47,DKI Jakarta,2022,175375802.0,14.59,10.27,84.79,71.98,7.77,88.66,44.0,52.72,Normal
Kabupaten/Kota_48,Jawa Barat,2023,32626079.0,21.92,12.21,59.62,71.99,9.95,90.01,34.39,74.7,Normal
Kabupaten/Kota_49,Banten,2023,167832118.0,18.52,13.06,76.33,76.9,5.67,84.81,45.13,66.36,Normal
Kabupaten/Kota_50,Sulawesi Selatan,2022,203255505.0,2.72,10.45,59.69,71.59,5.89,75.69,88.62,87.83,Normal
Kabupaten/Kota_51,Kalimantan Timur,2024,118169603.0,9.68,3.55,74.74,77.54,10.92,28.11,33.05,49.13,Normal
Kabupaten/Kota_52,Jawa Timur,2024,96057496.0,10.39,6.89,62.9,67.4,6.66,,76.26,72.98,Missing Value
Kabupaten/Kota_53,Jawa Barat,2024,177110115.0,18.31,8.28,72.9,71.95,5.91,91.01,47.24,87.91,Normal
Kabupaten/Kota_54,Sulawesi Selatan,2023,22905661.0,10.55,12.31,68.96,71.66,7.56,62.0,69.39,75.19,Normal
Kabupaten/Kota_55,Sumatera Utara,2021,60414616.0,2.91,1.73,57.9,74.44,11.79,71.74,93.3,98.61,Normal
Kabupaten/Kota_56,Papua,2020,77150542.0,15.2,14.65,70.19,72.83,11.87,58.07,66.8,53.9,Normal
